Repo Name,URL,Languages,Lang Used,,Laguage,Percentage,Count
String-sg/chergpt2,https://github.com/String-sg/chergpt2,Python: 100.0%,Python,,,,
SammriddhGupta/Name-Gen,https://github.com/SammriddhGupta/Name-Gen,Python: 100.0%,Python,,,,
Safakan/TalkWithYourFiles,https://github.com/Safakan/TalkWithYourFiles,"Python: 98.6%,
CSS: 1.0%,
Dockerfile: 0.4%",Multi-language,,,,
Rehan-stack/AI-Content-Writer,https://github.com/Rehan-stack/AI-Content-Writer,"HTML: 45.9%,
CSS: 27.0%,
Python: 18.4%,
JavaScript: 8.6%",Multi-language,,,,
shashnkvats/Chat-Wiki,https://github.com/shashnkvats/Chat-Wiki,Python: 100.0%,Python,,,,
hammad93/hurricane-net,https://github.com/hammad93/hurricane-net,"Jupyter Notebook: 98.8%,
Python: 1.2%",Multi-language,,,,
goyal-anjali/portfolio-langchain,https://github.com/goyal-anjali/portfolio-langchain,"HTML: 49.2%,
Jupyter Notebook: 36.7%,
Python: 14.1%",Multi-language,,,,
gojira/langchain,https://github.com/gojira/langchain,"Python: 99.7%,
HTML: 0.1%,
Makefile: 0.1%,
Dockerfile: 0.1%",Multi-language,,,,
hmdc/danswer-connector-request-tracker-rt,https://github.com/hmdc/danswer-connector-request-tracker-rt,"Python: 63.6%,
TypeScript: 35.2%,
JavaScript: 0.5%,
Dockerfile: 0.4%,
Shell: 0.2%,
HTML: 0.1%,
CSS: 0.0%,
Mako: 0.0%",Multi-language,,,,
htmw/SpotCheckAI,https://github.com/htmw/SpotCheckAI,"Jupyter Notebook: 36.6%,
Python: 30.0%,
TypeScript: 25.7%,
CSS: 6.9%,
HTML: 0.9%",Multi-language,,,,
jstzwj/ChatTester,https://github.com/jstzwj/ChatTester,Python: 100.0%,Python,,,,
j-space-b/langchain,https://github.com/j-space-b/langchain,"Python: 65.9%,
Jupyter Notebook: 33.4%,
MDX: 0.2%,
Makefile: 0.2%,
Shell: 0.1%,
XSLT: 0.1%,
HTML: 0.0%,
Dockerfile: 0.0%,
TeX: 0.0%,
JavaScript: 0.0%",Multi-language,,,,
jacklatrobe/YAGTA,https://github.com/jacklatrobe/YAGTA,Python: 100.0%,Python,,,,
jbpayton/llm-auto-forge,https://github.com/jbpayton/llm-auto-forge,Python: 100.0%,Python,,,,
jikebin/codeinterpreter-api,https://github.com/jikebin/codeinterpreter-api,Python: 100.0%,Python,,,,
jina-ai/thinkgpt,https://github.com/jina-ai/thinkgpt,Python: 100.0%,Python,,,,
jorjiiie/trinity,https://github.com/jorjiiie/trinity,"C#: 63.2%,
ShaderLab: 25.8%,
Python: 6.8%,
HLSL: 4.2%",Multi-language,,,,
goabiaryan/langchain,https://github.com/goabiaryan/langchain,"Python: 99.8%,
Makefile: 0.1%,
Dockerfile: 0.1%,
TeX: 0.0%,
HTML: 0.0%,
JavaScript: 0.0%",Multi-language,,,,
jvelezmagic/flow-genius,https://github.com/jvelezmagic/flow-genius,Python: 100.0%,Python,,,,
